Model,Partno,Specs,Manufacturer,ProductType,Category,CustomerPrice
 HP Laserjet Enterprise M605dn Monochrome Printer,E6B70A,"Print Speed up to 58ppm (Black, A4)   Print Resolution up to 1200 x 1200 dpi   Automatic Duplex Printing   Monthly Duty Cycle up to 225,000 Pages   2x 500-Sheet Input Trays, 1x 100-Sheet Multipurpose Tray,   1x 600-Sheet Output Bin   1x Hi-Speed USB 2.0, 1xHi-Speed USB 2.0 Device, 1x HIP,  Gigabit Ethernet 10/100/100 LAN   Paper (Bond, Color, Letterhead, Plain, Preprinted, Prepunched,   Recycled, Rough, Light), Envelopes, Labels, Cardstock,   Transparencies, Shelf Edge Labels, User-Defined  512MB RAM, 1.2GHz Processor   2-Line Backlit Text Display + 6-Button + 12-Key Numerical Control Panel   Introductory Toner Cartridge Included   1 Year Warranty ",HPI,,Category VI - Printers and Toners,657
 HP Laserjet Enterprise M651dn Color Printer,CZ256A,"Print Speed up to 45ppm (Black / Color, A4)   Print Resolution up to 1200 x 1200 dpi   Automatic Duplex Printing   Monthly Duty Cycle up to 120,000 Pages   2x 500-Sheet Input Trays, 1x 100-Sheet Multipurpose Tray,   1x 500-Sheet Output Bin   2x USB 2.0 Host, 1x Hi-Speed USB 2.0 Device, 1x Accessory,  Gigabit Ethernet 10/100/100 LAN   Paper (Plain, Light, Bond, Recycled, Midweight, Heavy,   Midweight Glossy, Heavy Glossy, Extra Heavy, Extra Heavy Glossy,  Cardstock, Card Glossy, Preprinted, Prepunched, Colored, Rough),  Color Transparency, Labels, Letterhead, Envelope, Opaque Film  1.5GB RAM, 1.5GHz Processor   4.3"" WQVGA (480 x 272) Touchscreen Display Control Panel  Introductory Toner Cartridge Set (CYMK) Included   1 Year Warranty ",HPI,,Category VI - Printers and Toners,1042
 HP Laserjet Enterprise M712dn Monochrome A3 Printer,CF236A,"Print Speed up to 40ppm (Black, A3)   Print Resolution up to 1200 x 1200 dpi   Automatic Duplex Printing   Monthly Duty Cycle up to 100,000 Pages   2x 250-Sheet Input Trays, 1x 100-Sheet Multipurpose Tray,   1x 250-Sheet Output Bin   2x Hi-Speed USB 2.0, 1xHi-Speed USB 2.0 Device,   1x Hi-Speed USB 2.0 Easy Access Walk-Up Port, 1x HIP,   Gigabit Ethernet 10/100/100 LAN   Paper (Color, Letterhead, Light, Plain, Preprinted, Prepunched,  Recycled, Rough, Tough Paper), Bond, Cardstock, Envelope,  Labels, Transparency, Vellum  512MB RAM, 800MHz Processor   2-In, 4-Line LCD (Color Text and Graphics) Control Panel   Introductory Toner Cartridge Included   1 Year Warranty ",HPI,,Category VI - Printers and Toners,1599
 HP Color Laserjet Enterprise M855dn Color A3 Printer,A2W77A,"Print Speed up to 45ppm (Black / Color, A3)   Print Resolution up to 1200 x 1200 dpi   Automatic Duplex Printing   Monthly Duty Cycle up to 175,000 Pages   1x 500-Sheet Input Trays, 1x 100-Sheet Priority Tray,   1x 500-Sheet Output Bin   2x Hi-Speed USB 2.0 Host, 1x Hi-Speed USB 2.0 Device;  2x Internal USB Host, 1x HIP,  Gigabit Ethernet 10/100/1000 LAN  Paper (Plain, Light, Bond, Recycled, Midweight, Heavy,   Cut Sheet Paper, Labels, Transparencies, Glossy Paper,  Glossy Film, Photo Media, Tough Paper, Envelopes  1.5GB RAM, 800MHz Processor   4.3"" Touchscreen Display Control Panel   Introductory Toner Cartridge Set (CYMK) Included   1 Year Warranty ",HPI,,Category VI - Printers and Toners,2948
 HP LaserJet Pro M227fdw Monochrome MFP,G3Q75A,"Print / Copy / Scan / Fax  Print Speed up to 28ppm (Black, A4)  Print Resolution up to 1200 x 1200 dpi  Automatic Duplex Printing  Monthly Duty Cycle up to 20,000 Pages  1x 250-Sheet Input Tray, 1x 10-Sheet Priority Tray,  1x 150-Sheet Output Bin, 1x 35-Sheet ADF  1x Hi-Speed USB 2.0, 1x Hi-Speed USB 2.0 (Host)  1x Phone Line In, 1x Phone Line Out  Fast Ethernet 10/100 LAN  802.11b/g/n WiFi + NFC Connectivity  Scan to Email and Network Folders  256MB RAM, 800MHz Processor  6.9cm LCD Color Touchscreen Display  Introductory Toner Cartridge, USB Cable, Phone Cord Included  1 Year Warranty ",HPI,,Category VI - Printers and Toners,295
 HP LaserJet Pro M277dw Color MFP,B3Q11A,"Print / Copy / Scan / Fax  Print Speed up to 19ppm Black / Color  Print Resolution up to 600 dpi  Automatic Duplex Printing  Monthly Duty Cycle up to 30,000 Pages  Recommended Monthly Volume 250 - 2500 Pages  1x 150-Sheet Input Tray, 1x Multipurpose Tray,  1x 100-Sheet Output Tray, 1x 50-Sheet ADF  1x Hi-Speed USB 2.0, 1x Host USB  Gigabit Ethernet 10/100/1000 LAN  Integrated Wireless 802.11b/g/n  256MB RAM + 800MHz Processor  Flatbed, ADF / Contact Image Sensor (CIS)  Scan to Email, Scan to Folder, Scan to USB Drive  Max Number of Copies up to 99  Max Fax Speed up to  33.6Kbps  Introductory Toner Cartridges (CYMK), USB Cable Included  1 Year Warranty ",HPI,,Category VI - Printers and Toners,295
 HP LaserJet Pro M521dn Monochrome MFP,A8P79A,"Print / Copy / Scan / Fax  Print Speed up to 42ppm  Print Resolution up to 1200 x 1200 dpi  Automatic Duplex Printing  Monthly Duty Cycle up to 75,000 Pages  Recommended Monthly Volume 2000 - 6000 Pages  1x 500-Sheet Input Tray, 1x 100-Sheet Multipurpose Tray,  1x 250-Sheet Output Tray, 1x 50-Sheet ADF  1x Hi-Speed USB 2.0 Host, 1x Hi-Speed USB 2.0 Device,  1x Telecom, 1x Phone, Gigabit Ethernet 10/100/1000 LAN  256MB RAM + 800MHz Processor  Flatbed, ADF / Contact Image Sensor (CIS)  Scan to Email, Scan to Folder, Scan to USB Drive  Max Number of Copies up to 99  Max Fax Speed up to 33.6Kbps  Introductory Toner Cartridges, Phone Cable Included  1 Year Warranty ",HPI,,Category VI - Printers and Toners,707
 HP LaserJet Pro M570dn Color MFP,CZ271A,"Print / Copy / Scan / Fax  Print Speed up to 31ppm Black / Color  Print Resolution up to 600 x 600 dpi  Automatic Duplex Printing  Monthly Duty Cycle up to 75,000 Pages  Recommended Monthly Volume 1500 - 4000 Pages  1x 250-Sheet Input Tray, 1x Multipurpose Tray,  1x 250-Sheet Output Tray, 1x 50-Sheet ADF  1x Hi-Speed USB 2.0, 1x Host USB, Gigabit Ethernet 10/100/1000 LAN  256MB RAM + 800MHz Processor  Flatbed, ADF / Contact Image Sensor (CIS)  Scan to Email, Scan to Folder, Scan to USB Drive  Max Number of Copies up to 99  Max Fax Speed up to 33.6Kbps  Introductory Toner Cartridges (CYMK) Included  1 Year Warranty ",HPI,,Category VI - Printers and Toners,828
 HP LaserJet M630h A4 Monochrome MFP,J7X28A,"Print / Copy / Scan / Digital Send / Print from Easy Access USB  Print Speed up to 60ppm (Black, A4)  Print Resolution up to 1200 x 1200 dpi  Automatic Duplex Printing  Monthly Duty Cycle up to 250,000 Pages  Recommended Monthly Volume: 5,000 - 28,000 Pages  1x 100-Sheet Multipurpose Tray, 1x 500-Sheet Input Tray,   1x 100-Sheet ADF, 1x 500-Sheet Output Bin  1x Hi-Speed USB 2.0, Gigabit Ethernet 10/100/1000 LAN  1.5GB RAM, 800MHz Processor  Flatbed, ADF / Contact Image Sensor (CIS)   Scan to Email, Scan to Folder, Scan to USB Drive   Max Copies up to 9,999  8"" SVGA (800 x 600) Capacitative Touch Display  Introductory Toner Cartridge, Power Cord Included  1 Year Warranty ",HPI,,Category VI - Printers and Toners,1699
 HP LaserJet M680dn A4 Color MFP,CZ248A,"Print / Copy / Scan / Send / Print from Easy Access USB  AiO Multitasking Supported  Print Speed up to 45ppm Mono / Color  Print Resolution up to 1200 x 1200 dpi  Automatic Duplex Printing  Monthly Duty Cycle up to 120,000 Pages  Recommended Monthly Volume: 3,000-17,000 Pages  1x 100-Sheet Multipurpose Tray, 1x 500-Sheet Input Tray,   1x 500-Sheet Output Bin, 1x 100-Sheet ADF  1x Hi-Speed Device USB 2.0, 2x Host USB 2.0,   1x Jetlink, 1x Accessory (for Kensington Lock), 1x FIH,   Gigabit Ethernet 10/100/1000 LAN  2GB RAM, 800MHz Processor  8"" SVGA Touchscreen Display with Gesture Support  1x Set of Introductory Toner Cartridges (CYMK), Power Cord Included   1 Year Warranty ",HPI,,Category VI - Printers and Toners,2643
 HP LaserJet M725dn A3 Monochrome MFP,CF066A,"Print / Copy / Scan / Digital Send / Easy Access USB  Print Speed up to 40ppm  Print Resolution up to 1200 x 1200 dpi  Automatic Duplex Printing  Monthly Duty Cycle: up to 200,000 Pages  Recommended Monthly Volume: 5000 - 20,000 Pages  1x 100-Sheet Multipurpose Tray, 2x 250-Sheet Input Trays,  1x 500-Sheet Output Bin, 1x 100-Sheet ADF  Media Sizes up to A3 Supported  Color Copy / Scan  2x Hi-Speed USB 2.0 Host, 1x Hi-Speed USB 2.0 Device,  1x Foreign Interface (FIH), 1x Hardware Integrations Pocket (HIP),  2x Internal USB 2.0 Host  Gigabit Ethernet 10/100/1000 LAN  1x Introductory Toner Cartridge, Power Cord Included  1 Year Warranty ",HPI,,Category VI - Printers and Toners,2710
 HP LaserJet M775dn A3 Color MFP,,"Print / Copy / Scan / Digital Send / Easy Access USB  Print Speed up to 30ppm Mono / Color  Print Resolution up to 600 x 600 dpi  Automatic Duplex Printing  Monthly Duty Cycle: up to 120,000 Pages  Recommended Monthly Volume: 2,500 - 7,500 Pages  1x 100-Sheet Multipurpose Tray, 1x 250-Sheet Input Tray,   1x 250-Sheet Output Bin, 1x 100-Sheet ADF  Media Sizes up to A3 Supported  Color Copy / Scan  1x Hi-Speed USB 2.0 Host, 1x Hi-Speed USB 2.0 Device,   1x Foreign Interface (FIH), 1x Hardware Integrations Pocket (HIP),   2x Internal USB 2.0 Host  Gigabit Ethernet 10/100/1000 LAN  1x Set of Introductory Toner Cartridges (CYMK), Power Cord Included  1 Year Warranty ",HPI,,Category VI - Printers and Toners,2933
 Canon SELPHY CP1200 Wireless Compact Photo Printer,0599C010,"Dye-Sublimation Printing Method  Print Resolution up to 300 x 300 dpi, 256 Levels per Color  Black & White, Color Printing Capabilities  Direct Print via USB, PictBridge, AirPrint, Canon Print &   Selphy App, Memory Card  2.7"" (6.9cm) Tilt-Up LCD Display for Viewing Photos, Editing, Options, Settings  ID Photo Print Settings, up to 6x per Page Standard   ICAO International Size, Custom Sizes Available  Different Photo Sizes and Number of Photos per   Sheet Easily Selectable by User  All Default Pre-Configured Settings Restored when   Printer is Switched Off and On  Borderless Printing Capabilities  Print Speed as Fast as 47 Seconds for Postcard-Sized Borderless   Photo / 39 Seconds Color Card Size Photo  Power Consumption: up to 60W Printing / 4W Standby  Charging Options: Compact AC Power Adapter, NB-CP2LH Rechargeable   Lithium-Ion Battery Pack  Postcard Size Paper Cassette, AC Adapter Included  Manuals in English and ""Getting Started"" Guide Included  Electronic Manuals Sent Electronically  1 Year Warranty ",Other,,Category VI - Printers and Toners,104
 HP OfficeJet 200 Mobile Printer,CZ993A,"Print Speed up to 20ppm Mono / Color  Print Resolution up to 4800 x 1200 dpi  Manual Duplex Printing  Monthly Duty Cycle up to 500 Pages  1x 50-Sheet Input Tray  1x USB 2.0, Wifi + Wifi Direct Connectivity  Plain Paper, HP Photo Papers, HP Matte Brochure or   Professional Paper, HP Matte Presentation Paper,   HP Glossy Brochure or Professional Paper, Other Photo   Inkjet Papers, Other Matte Inkjet Papers, Other Glossy   Inkjet Papers, Plain Paper, Light/Recycled  128MB RAM  2"" Monochrome Graphic Display  Introductory Ink Cartridges, Battery, Power Cord Included  1 Year Warranty ",HPI,,Category VI - Printers and Toners,199
" Fargo HDP5000-2013 Reverse-Transfer Dual-Sided Card Printer, 89640",,"Dye Sublimation / Resin Thermal Transfer  No Mag Stripe Encoder, Smart Screen LCD Control Panel,  Cartridge-based Card Handling, 100 Card Input Hopper,  200 Card Output Hopper, USB 2.0 and Ethernet  3 Years Warranty Printer / Lifetime Printhead",Other,,Category VI - Printers and Toners,2314
" Fargo HDP5000-2013 Reverse-Transfer Dual-Sided Printer + Single-sided Lamination Module, 89660",,"No Mag Stripe Encoder, Smart Screen LCD Control Panel,   Cartridge-based Card Handling, 100 Card Input Hopper,   200 Card Output Hopper, USB 2.0 and Ethernet",Other,,Category VI - Printers and Toners,3350
" Fargo HDP8500 Reverse-Transfer Dual-Sided Industrial Card Printer, 88500",,"Dye Sublimation / Resin Thermal Transfer  No Mag Stripe Encoder, 3.2"" Touchscreen Display   Two Locking 200 Card Input Hoppers (Total Capacity 400 Cards)   Locking 200 Card Output Hopper   USB 2.0 and Ethernet   Dual Cooling Fans With Replaceable Filter  3 Years Warranty Printer / Lifetime Printhead",Other,,Category VI - Printers and Toners,5106
" Fargo Dual-Sided Simultaneous Lamination Module, 88910",,Field Installable,Other,,Category VI - Printers and Toners,2043
" Fargo Card Flattener Module for HDP8500, 88911",,NULL,Other,,Category VI - Printers and Toners,257
HP USB Wired Mouse,QY775AA,3-Button USB Optical Mouse with Scroll Wheel,HPI,,Category VII - Other,9
HP USB Wireless Mouse,H2L63AA,"3-Button Wireless Optical Mouse with Scroll Wheel  2x AA Batteries, USB Receiver Included",HPI,,Category VII - Other,17
Lenovo USB Wired Mouse,06P4069,3-Button USB Optical Mouse with Scroll Wheel,Lenovo,,Category VII - Other,9
Lenovo USB Wireless Mouse,0A36188,"3-Button Wireless Optical Mouse with Scroll Wheel  2x AA Batteries, USB Receiver Included",Lenovo,,Category VII - Other,17
HP USB Wired Keyboard,,Full-Size USB Keyboard with Numeric Keypad  QWERTY English Localization Unless Otherwise Specified,HPI,,Category VII - Other,16
HP USB Wireless Keyboard,E5E78AA,Full-Size USB Keyboard with Numeric Keypad  QWERTY English Localization Unless Otherwise Specified  USB Receiver Included,HPI,,Category VII - Other,16
Lenovo Preferred Pro USB Wired Keyboard,73P5220,Full-Size USB Keyboard with Numeric Keypad  QWERTY English Localization Unless Otherwise Specified,Lenovo,,Category VII - Other,22
Lenovo Ultraslim USB Wireless Keyboard & Mouse,0A34032,Full-Size USB Keyboard with Numeric Keypad  QWERTY English Localization Unless Otherwise Specified  3-Button Wireless Optical Mouse with Scroll Wheel  USB Receiver Included,Lenovo,,Category VII - Other,50
HP Stereo USB Headset,T1A67AA,"Over-the-Head Binaural Headset  Cushioned Earpads, Noise-Cancelling Boom Microphone  USB Interface",HPI,,Category VII - Other,19
Lenovo Stereo USB Headset,4XD0K25031,"Over-the-Head Binaural Headset   Cushioned Earpads,  Boom Microphone   USB Interface",Lenovo,,Category VII - Other,19
Logitech H340 Stereo USB Headset,,"Over-the-Head Binaural Headset   Cushioned Earpads, Noise-Cancelling Boom Microphone   USB Interface",Other,,Category VII - Other,28
Jabra Evolve 20 MS Stereo USB Headset,4999-823-109,"Over-the-Head Binaural Headset , USB Interface  Cushioned Earpads, Noise-Cancelling Boom Microphone   In-Line Control Unit, Digital Signal Processing  Optimized for Microsoft Lync  Mute / Volume Controls",Other,,Category VII - Other,36
 Jabra Speak 410 MS Conference Speaker,7410-109,"Corded Technology, 1x Phone Line  Integrated Speakerphone  Conference Call, Indicator, Hands-Free, Echo Cancellation Features  Volume Control, Mute  1x USB Port, 1x Microphone Port, 1x Headset Port  Optimized for Microsoft Lync  2 Years Warranty ",Other,,Category VII - Other,72
 Jabra Speak 510 MS Conference Speaker,7510-109,"Corded Technology, 1x Phone Line   Integrated Speakerphone   Conference Call, Indicator, Hands-Free, Echo Cancellation Features   Volume Control, Mute   Bluetooth Enabled  1x USB Port, 1x Microphone Port, 1x Headset Port   Optimized for Microsoft Lync   Battery Status Indicator  2 Years Warranty ",Other,,Category VII - Other,87
 Jabra Speak 810 MS Conference Speaker,7810-109,"Corded Technology, 1x Phone Line   Integrated Speakerphone   Conference Call, Indicator, Hands-Free, Echo Cancellation Features   Volume Control, Mute   Bluetooth, NFC Enabled   1x USB Port, 1x Microphone Port, 1x Headset Port   Hands Free Profile (HFP), Headset Profile (HSP), Advanced Audio   Distribution Profile (A2DP)  Optimized for Microsoft Lync   Battery Status Indicator   2 Years Warranty ",Other,,Category VII - Other,395
 WD Elements 500GB USB External Hard Drive,,"500GB Storage Capacity, USB Interface  5Gbps Max. External Data Transfer Rate",Other,,Category VII - Other,55
 WD Elements 1TB USB External Hard Drive,WDBUZG0010BBK-NESN,"1TB Storage Capacity, USB Interface   5Gbps Max. External Data Transfer Rate",Other,,Category VII - Other,68
 WD Elements 2TB USB External Hard Drive,,"2TB Storage Capacity, USB Interface   5Gbps Max. External Data Transfer Rate",Other,,Category VII - Other,99
 WD Elements 4TB USB External Hard Drive,,"4TB Storage Capacity, USB Interface   5Gbps Max. External Data Transfer Rate",Other,,Category VII - Other,144
 Samsung T3 500GB USB 3.1 External SSD,MU-PT500B,500GB Solid State Storage Capacity  450Mbps Max. External Data Transfer Rate  AES 256-Bit Hardware Encryption,Other,,Category VII - Other,199
 Samsung T3 1TB USB 3.1 External SSD,,1TB Solid State Storage Capacity   450Mbps Max. External Data Transfer Rate   AES 256-Bit Hardware Encryption,Other,,Category VII - Other,399
 Samsung T3 2TB USB 3.1 External SSD,,2TB Solid State Storage Capacity   450Mbps Max. External Data Transfer Rate   AES 256-Bit Hardware Encryption,Other,,Category VII - Other,799
 Kingston 16GB USB 3.0 Drive,,"16GB Storage Capacity, USB 3.0 Interface",Other,,Category VII - Other,8
 Kingston 32GB USB 3.0 Drive,DT100G3/32GB,"32GB Storage Capacity, USB 3.0 Interface",Other,,Category VII - Other,16
 Kingston 64GB USB 3.0 Drive,,"64GB Storage Capacity, USB 3.0 Interface",Other,,Category VII - Other,28
 Kingston 128GB USB 3.0 Drive,,"128GB Storage Capacity, USB 3.0 Interface",Other,,Category VII - Other,59
 Eaton 5P 850VA UPS 230V,5P850I,"850 VA / 600W Line-Interactive UPS  6x IEC-320 C13, 2x IEC Jumpers  Serial RS232, USB Ports  12 Minutes Run Time Half Load  4 Minutes Run Time Full Load  Maintenance-Free Sealed Lead-Acid Battery, Spill-Proof  3 Years Warranty UPS / 2 Years Battery",Other,,Category VII - Other,176
 APC Smart-UPS 1000VA LCD 230V,SMT1000I,"1000VA / 700W Line-Interactive UPS  8x IEC 320 C13, 2x IEC Jumpers  Serial RJ45, SmartSlot, USB Ports  19 Minutes Run Time Half Load  6 Minutes Run Time Full Load  Maintenance-Free Sealed Lead-Acid Battery, Spill-Proof   3 Years Warranty UPS / 2 Years Battery",APC,,Category VII - Other,299
 Eaton 5P 1550VA UPS 230V,5P1550i,"1550VA / 1100W Line Interactive UPS  8x IEC 320 C13, 1x 320 C19  Serial RS232, USB Ports  13 Minutes Runtime at Half Load  4 Minutes Runtime at Full Load  2U Rack-Mountable or Tower  Maintenance-Free Sealed Lead-Acid Battery, Spill-Proof  3 Years Warranty UPS / 2 Years Battery",Other,,Category VII - Other,250
 APC Smart-UPS 1500VA LCD 230V,SMT1500I,"1500VA / 1000W Line Interactive UPS  8x IEC 320 C13, 2x IEC Jumpers  SmartSlot, USB Ports  24 Minutes Runtime at Half Load  7 Minutes Runtime at Full Load  Maintenance-Free Sealed Lead-Acid Battery, Spill-Proof   3 Years Warranty UPS / 2 Years Battery",APC,,Category VII - Other,402
 Eaton 5PX 2200VA RT UPS 230V,5PX2200iRT,"2200VA / 1980W Line Interactive UPS  8x IEC 320 C13, 1x 320 C19  Serial RS232, USB Ports  6 Minutes Runtime at Half Load  2 Minutes Runtime at Full Load  2U Rack-Mountable or Tower  Maintenance-Free Sealed Lead-Acid Battery, Spill-Proof   3 Years Warranty UPS / 2 Years Battery",Other,,Category VII - Other,436
 APC Smart-UPS 3000VA RM LCD 230V,SUM3000RMXLI2U,"3000VA / 2850W Line Interactive UPS  7x IEC 320 C13, 1x IEC 320 C19, 2x IEC Jumpers  Serial RS232, RJ45, USB Ports  12 Minutes Runtime at Half Load  3 Minutes Runtime at Full Load  2U Rack-Mountable Chassis  Maintenance-Free Sealed Lead-Acid Battery, Spill-Proof   2 Years Warranty ",APC,,Category VII - Other,1303
"APC SurgeArrest Surge Protector, 1 Outlet, 230V",PM1W-GR,"1x CEE 7/7 Input, Output",APC,,Category VII - Other,13
APC Essential SurgeArrest 5 Outlets 230V,PM5-GR,"5x CEE 7/7 Input, 1x Output",APC,,Category VII - Other,19
APC Essential SurgeArrest 8 Outlets 230V,PM8-GR,"8x CEE 7/7 Input, 1x Output",APC,,Category VII - Other,38
" HP E222 22"" LED LCD Monitor",,"21.5"" Anti-Glare LED Backlit IPS Display  FHD (1920 x 1080) Native Resolution  16:9 Widescreen Aspect Ratio  1000:1 Typical Contrast Ratio  7ms Response Time, 250 nit Brightness  178",HPI,,Category VII - Other,147
" Lenovo ThinkVision T2254 22"" LED LCD Monitor",,"22"" Anti-Glare LED Backlit Display  HD+ (1680 x 1050) Native Resolution  16:10 Widescreen Aspect Ratio  1000:1 Typical Contast Ratio  5ms Response Time, 250 nit Brightness  160",Lenovo,,Category VII - Other,148
" HP E242 24"" LED LCD Monitor",,"24"" Anti-Glare LED Backlit IPS Display  WUXGA (1920 x 1200) Native Resolution  16:10 Widescreen Aspect Ratio  1000:1 Typical Contrast Ratio  7ms Response Time, 250 nit Brightness  178",HPI,,Category VII - Other,204
" Lenovo ThinkVision T2454p 24"" LED LCD Monitor",60C9MAR1DK,"24"" Anti-Glare LED Backlit IPS Display  WUXGA (1920 x 1200) Native Resolution  16:10 Widescreen Aspect Ratio   1000:1 Typical Contrast Ratio   7ms Response Time, 300 nit Brightness   178",Lenovo,,Category VII - Other,299
" HP Z34c 34"" LED Ultra Wide Curved Monitor",,"34"" Anti-Glare LED Backlit Display  WQHD (3440 x 1440) Native Resolution  Ultra Widescreen 21:9 Aspect Ratio  3000:1 Typical Contrast Ratio  14ms Response Time, 350 nit Brightness  178",HPI,,Category VII - Other,731
